ticker,status,error,forecast_completed,evaluation_completed,forecast_revenue,forecast_cogs,forecast_sga,forecast_net_income,forecast_ebit,forecast_cash,forecast_equity,forecast_total_assets,avg_smape,median_smape,is_avg_smape,is_median_smape,bs_avg_smape,bs_median_smape,actual_revenue,actual_net_income,actual_equity
MDT,evaluated,,True,True,30774649024.80591,10563725714.826736,3901650350.312441,11350725141.000826,13534546744.99834,11569014993.400034,60136974198.35348,100341862787.47757,35.74856641313196,8.480824829546476,24.56033792634866,11.228639581524323,43.58032635388025,6.390997336514024,32364000000.0,3676000000.0,50214000000.0
PEP,evaluated,,True,True,96848595251.87517,44343190932.03074,38833246909.43606,6476619542.771326,9721400134.680798,10281911299.657375,18174628745.913864,103459375780.87268,8.40966951959295,4.4109041784135306,8.342430741496495,4.323011647722973,8.456736664260466,5.3239442518367515,91854000000.0,9578000000.0,18041000000.0
NDAQ,evaluated,,True,True,5906215226.469644,3426461933.8258915,59062152.264696434,1286639390.8539395,2097029255.133154,,11687511390.85394,,23.122478299603255,18.354129372713224,25.219469556955584,22.452436671230398,21.287610949419967,18.17214442180244,7400000000.0,1117000000.0,11191000000.0
JPM,evaluated,,True,True,187980006607.8433,112788003964.70598,5569571288.7643175,-25853259696.3229,61454140303.6771,,284318015173.62085,,48.8078610644115,13.09210733974474,73.2364662127356,13.09210733974474,30.486407203168408,11.230627994519484,169439000000.0,58471000000.0,344758000000.0
TXT,evaluated,,True,True,14548487761.286812,11520343849.560959,1908538736.4985623,463932848.7077992,731806919.182899,2318954308.8041024,7433817866.129402,17437666619.384735,13.694711930379063,5.99273023842654,19.88389754774591,14.527915041650669,9.36228199822227,5.0039728221617565,13702000000.0,824000000.0,7204000000.0
INTU,evaluated,,True,True,16221862643.4072,3548532453.245325,4247400282.8854322,6777718786.023165,7706929907.276443,,23020883355.23904,,26.614614641764028,9.966549446779313,16.952397882703448,8.300975406315546,35.06905430594203,18.13799765535776,16285000000.0,2963000000.0,18436000000.0
BF-B,evaluated,,True,True,4545126875.158912,1864061022.1205187,543953216.374269,1679236463.8174028,2042849779.521267,1725620690.1618783,4594045533.029814,10493275453.156322,34.170614691030565,12.118811881188119,14.162684842296487,9.446280706408663,48.17616558514442,23.996314528515995,4178000000.0,1024000000.0,3517000000.0
LW,evaluated,,True,True,6984537402.717803,5115110419.868746,717956036.9855328,370002657.5920409,763899705.7269092,397878181.9512553,1047602856.6960728,8387133372.076418,33.051126884531925,10.429476749765152,17.012356963942093,8.439486148676773,44.27826582894481,30.75194110758239,6467600000.0,725500000.0,1787800000.0
DD,evaluated,,True,True,11188186525.313053,7263791964.354306,1305350234.3089807,,1441422969.120539,,,,16.837079525339245,10.162076841131132,22.147020264741407,9.143750482475124,13.802827674252296,10.212111126081313,12386000000.0,703000000.0,23350000000.0
LH,evaluated,,True,True,12466770164.95419,9017434968.265074,2297438272.406207,180676750.00190228,550278463.9557905,550269884.270771,7972671511.9438925,13792679668.027536,22.49185153281153,9.171559907781578,24.39712509793872,7.900004842711694,21.15816003722251,9.228565808227522,13008900000.0,746000000.0,8052200000.0
SNPS,evaluated,,True,True,6127171853.411195,1187690031.4451892,835235710.2446121,3735124592.09051,3841154666.868699,4609219246.215074,9513466192.09051,14378040055.923409,31.570631628682925,8.215453129076229,36.57835042483129,4.73485121000792,28.065228471379065,8.492614741929515,6127436000.0,2263380000.0,8990702000.0
PAYC,evaluated,,True,True,2085965452.2978475,340291819.37172776,514317277.486911,904719959.9112072,1069470099.3266178,1018676208.8452986,2129241495.092444,5264154769.023296,39.80681025951551,28.856572257762444,23.786160183037765,10.387894712714544,51.02126531304992,31.464998799954834,1883200000.0,502000000.0,1575900000.0
XYL,evaluated,,True,True,9820444766.388988,6197122057.225642,2343090909.090909,603370484.1621236,695731800.0724373,1358912712.7852225,10256438089.795927,22752281057.58783,38.34672400056388,24.807379423508568,36.743259797048246,20.314136125654446,39.469148943024834,25.1741023077777,8562000000.0,890000000.0,10642000000.0
AXON,evaluated,,True,True,2051801146.6192362,795697592.4164149,120775926.51601365,,1113371127.7564478,,,,21.240470938702632,10.292021327216666,23.136473670742202,7.922598957942018,20.157040806108597,18.442765698775865,2082526000.0,377034000.0,2327665000.0
ISRG,evaluated,,True,True,8156729261.354506,2741694233.550834,650445374.626338,,4136100191.463914,,,,11.94510568109535,8.640868051011225,11.852851860210931,8.002472755803069,12.006608228351629,8.640868051011225,8352100000.0,2322600000.0,16433700000.0
EW,evaluated,,True,True,5622782258.064516,1098069892.4731183,2046423387.096774,2147181299.3512144,2337563536.491262,2494359023.283665,8376461299.351214,11773159960.05272,25.39340895676057,12.06965155275973,17.271920521744775,12.06965155275973,31.07845086127163,11.436171210593777,5439500000.0,4174600000.0,9998400000.0
AEE,evaluated,,True,True,7069247203.719995,3801369863.013698,278057056.6796531,626144461.6428479,1369194604.2876632,70692472.03719997,11265066249.352345,43191814576.85456,34.04049091640605,9.78716403301037,39.268604932946836,7.53802721396899,30.380811104827508,10.358190475320018,7623000000.0,1182000000.0,12114000000.0
STX,evaluated,,True,True,4675710144.927536,3820227424.7491636,817489409.141583,-639326256.4769545,-337136564.65973866,497712374.5819398,-1838326256.4769545,6907085075.985962,59.98236867981,33.407647135519206,76.476075756249,33.407647135519206,48.43677372630269,28.51632724869379,6551000000.0,335000000.0,-1491000000.0
CTVA,evaluated,,True,True,17000004354.05328,9789855055.857922,5127831337.725579,322110881.3538767,861923743.2624447,3110692242.356412,25077798762.783695,43440662847.46046,33.77628586251918,8.226718585082796,41.324296243395075,2.9809081953357235,28.492678595906067,8.70426774199484,16908000000.0,907000000.0,23789000000.0
PKG,evaluated,,True,True,7180637622.08068,5617120594.479831,534608888.8888889,249541589.7602498,517977957.44811547,596361783.4394904,3913283345.4409647,8845963056.970049,25.542273624860837,15.45447440258426,30.222601212857132,16.093207965163085,22.266044313263436,14.407408812276952,8383300000.0,805100000.0,4404000000.0
SMCI,evaluated,,True,True,9765786949.849108,8006868790.710108,157691090.38338184,1406843786.6316714,1565802142.6789393,795686881.3776857,3186849386.6316714,5108472189.722061,62.59483738222346,47.01256677055634,48.039626911155366,42.20122029893904,72.78348471197113,52.89991898835509,14989251000.0,1152666000.0,5417206000.0
ENPH,evaluated,,True,True,2251407745.4888835,1211213270.3469505,227807531.62554654,638578462.3537719,718321443.5163864,784440156.3228744,1490521662.353772,4308931153.882139,52.04572742950496,23.961621893783896,56.34846427132889,51.42817160097227,49.03381164022822,23.800232270883956,1330383000.0,102658000.0,833016000.0
LEN,evaluated,,True,True,34805114182.49574,28764906904.123516,509711091.04562056,,5403614245.004883,,,,13.496687739302281,9.367554988032625,9.807727755980137,6.689633821838067,15.60466487262922,10.336628655648706,35441452000.0,3932533000.0,27870135000.0
MSCI,evaluated,,True,True,2844188408.2437143,502254125.6907637,310637036.80248755,1493602633.6830778,1945715745.7504632,,172013752.9941522,,29.074098868121414,8.45015721225718,18.47039561380502,6.4523751041095405,39.677802122437804,13.995966920333819,2856128000.0,1109128000.0,-939997000.0
TAP,evaluated,,True,True,12796854911.690495,8019344914.493972,3039965217.2694135,445854008.24469554,1018897294.8461204,950187336.6975048,12692954008.244696,26606816933.427208,25.068921897371602,12.209213774611836,21.511269592896465,11.201638398168168,27.559278510504203,13.121935786308192,11627000000.0,1122400000.0,13092400000.0
PFE,evaluated,,True,True,35054894153.69409,14688515107.487026,3192106172.473437,5364430145.051794,9853847655.594265,8456677327.118393,93753847937.98817,243622061586.0937,61.555004545121314,36.89552741910642,68.56395430259259,39.813127702110016,56.648739714891406,31.411557139867504,63627000000.0,8031000000.0,88203000000.0
ANET,evaluated,,True,True,7838196564.092474,2982558285.3110137,533723082.3000426,,4271125196.4814167,,,,20.347610164239747,19.59935187104759,17.620475364836427,18.536337270773224,22.165700030508628,21.845141112197766,7003146000.0,2852054000.0,9994807000.0
LYB,evaluated,,True,True,33493596737.4284,29209427821.054092,1374551723.454441,614759231.6991391,1378844401.8960218,3157864178.011219,12668010133.296253,34514740629.26577,25.531118657405923,13.203549774709561,23.15418080809187,19.15287951765424,27.194975151925757,7.925903146887061,40302000000.0,1360000000.0,12462000000.0
WEC,evaluated,,True,True,8240299351.907808,4903316325.254756,1403250797.0908787,-230517018.17920113,562378016.0963945,82402993.51907825,10593237753.69336,44684004083.59484,44.12500506938811,12.392483629073267,60.64745845664828,4.270740988009182,32.559287698305994,14.155714768198578,8599900000.0,1528400000.0,12425400000.0
TJX,evaluated,,True,True,51361567373.8414,37180977631.30793,9181847003.0896,2835045863.4829254,4065022173.0721893,5729860025.0515375,7772356250.324229,29340965646.689537,21.71832917511447,5.409114173803563,17.802731521487768,13.100229183078246,24.459247532653162,3.9093817067095724,54217000000.0,4474000000.0,7302000000.0
AON,evaluated,,True,True,14337477041.429602,7398121003.28552,1995841974.5171888,3597237428.798667,4684757140.54997,,2286959329.1462917,,30.795592722655094,23.790464039951,29.966177360265636,23.790464039951,31.521331164745867,27.190624749364076,15698000000.0,2654000000.0,6121000000.0
CTSH,evaluated,,True,True,19278289530.57443,12615111797.405806,3756442402.717727,1709882139.8557441,2441006954.1231265,,14388207030.685438,,9.49028779504532,3.19626778605173,11.251267040966146,3.19626778605173,7.949430954864594,4.058329320392171,19736000000.0,2240000000.0,14408000000.0
TECH,evaluated,,True,True,1168679997.7243106,377208360.9645089,362352877.9204757,240660805.19734645,308614049.01446575,425420360.6216368,2154449743.1575084,3099363274.840433,32.67587702147036,8.195906716869928,22.13567636587228,7.573742389343602,40.05401748038902,10.946172441851209,1159060000.0,168105000.0,2068850000.0
APTV,evaluated,,True,True,22988312710.846817,19045526445.194122,1913495282.7491565,756144008.1683738,1029696456.8011562,1880247012.407799,12145867913.89228,27834868180.6746,38.2350485395658,20.075182322607034,50.20283955178237,17.367995712641594,29.85759483101421,21.017802852367776,19713000000.0,1787000000.0,8796000000.0
HON,evaluated,,True,True,37898332036.316475,23770447470.817123,5299894941.634241,5277187412.923511,7611363778.498632,8192250324.254216,17880350119.327053,62144961120.88647,16.479989214877484,8.299960741356855,11.21667510384385,7.79102688728572,20.16430909260103,9.92715092255946,38498000000.0,5705000000.0,18619000000.0
LDOS,evaluated,,True,True,16555421228.118921,14148997777.160322,1010183106.4184495,627336570.780293,1045979568.6780808,1332732682.8966541,4769943870.050365,12523858190.333492,27.776481038587495,11.279411411954174,21.692782579238877,4.430567455348326,32.03506996013154,12.661275233283192,16662000000.0,1254000000.0,4412000000.0
KMI,evaluated,,True,True,12246435208.333334,5740666250.0,533495416.6666667,1424367231.8750708,3614953111.3175,122464352.08333337,29357196509.740063,70396425481.635,23.25973010850383,17.139800117118767,26.3086456109144,20.869738742379802,21.125489256816433,14.841629911986942,15100000000.0,2613000000.0,30531000000.0
DHR,evaluated,,True,True,21421465300.454155,8837587358.78092,7919396464.362122,1485901477.451401,2387981477.3111134,6277344459.898494,54147172388.8122,82968387360.5068,30.963142382629226,10.159048572843595,21.332811499417886,10.833228082020984,37.704374000877166,9.519841322010965,23875000000.0,3899000000.0,49543000000.0
APA,evaluated,,True,True,6188879548.532731,3029030067.7200904,262386365.68848756,871028135.9546225,1182136883.4330747,1020120744.8087733,3282038124.8558435,17230919118.083836,52.87508754622862,34.557373941210365,55.6752816453395,34.557373941210365,50.914951676851004,34.64478504539086,9737000000.0,804000000.0,5280000000.0
TSN,evaluated,,True,True,52483017923.50137,49871818813.10762,2228104143.9885893,-1507771852.1823733,-1102216029.5648994,568687605.5703616,16625228147.817627,35884557952.34046,46.33871918070745,6.931713030437063,60.76149391860404,5.913469715342142,36.242776864179824,8.505868948472846,53309000000.0,800000000.0,18390000000.0
ROL,evaluated,,True,True,3503582269.787,1675674629.6540983,1157097877.2827444,300597086.59038657,560071290.6904933,118362032.05848454,1144226145.8037865,3068340980.9662714,20.663596980740394,13.674982326147273,27.523069092908003,4.420888515342349,15.861966502223073,14.904507828324775,3388708000.0,466379000.0,1330593000.0
IP,evaluated,,True,True,16909175180.757051,12183080383.724775,1407906053.5891497,1450492015.6309357,1920092382.3192205,2910044584.3259935,9682555845.418169,23950913427.534264,38.419139708789416,6.730348314109517,45.91183129480852,9.33460514514316,33.174255598576046,6.0748183705965735,18619000000.0,557000000.0,8173000000.0
EOG,evaluated,,True,True,18222064424.250645,5161162756.001628,4487523328.360233,3295206792.564272,4741065859.002583,4496308436.772629,28071212205.632965,43414725388.68785,31.462457920618643,21.612259286349975,29.670984777827307,24.788113418130752,32.716489120572575,10.719581323401318,23378000000.0,6403000000.0,29351000000.0
O,evaluated,,True,True,4976008146.126679,386667848.17451185,176321046.2505245,2680107911.216126,3762244751.701643,1450761384.1011667,34749265911.216125,67624209269.25893,43.94162483906407,12.259354756094808,44.83348196113749,7.526874747624642,43.24795818856253,13.399068606285876,5271142000.0,860772000.0,38840738000.0
SW,evaluated,,True,True,10825423717.521652,8091540972.684877,917297052.0620142,655699834.3625253,1054839110.8395722,1287767059.7197177,6501731749.256143,14549234202.115578,88.9417119856255,90.97241435091674,68.0765690207886,69.08790224279339,103.54731206101135,98.95533024362948,21109000000.0,319000000.0,17360000000.0
OXY,evaluated,,True,True,21795546459.573074,13998144783.534422,2850074111.4811378,-2898590461.134262,-1960747308.5175276,1099920347.218431,26869596550.290874,72611516321.52399,47.20494070196874,29.210144637904026,71.73669766193923,22.449072671537323,30.0327108299894,29.254016922321902,26725000000.0,3056000000.0,34159000000.0
HUBB,evaluated,,True,True,5834405386.123406,3784126987.206694,922576414.2363427,661707153.0938392,942675052.8621879,437590925.22030866,3197012886.744691,9167825896.406948,26.78738858692427,12.688365000315041,11.414253262764403,12.688365000315041,37.54858331383618,18.342122575686737,5628500000.0,777800000.0,3268300000.0
